기사제목,입력일,기사내용
"尹, 코로나19 검사 후 자택대기…충청권 방문 연기",2021.08.06. 오전 9:41,"윤석열 전 검찰총장[연합뉴스 자료사진]    (서울=연합뉴스) 한지훈 기자 = 국민의힘 대권주자인 윤석열 전 검찰총장의 6일 충청권 방문 일정이 순연됐다. 나흘전 접촉한 국민의힘 당직자가 코로나19 확진 판정을 받은 데 따른 것이다.    캠프 대변인실은 이날 오전 ""오늘 충남 논산 윤증 고택 등을 방문할 예정이었으나 부득이하게 일정을 연기했다""고 언론에 공지했다.    대변인실은 ""윤 전 총장이 지난 2일 국회 본청 방문 때 악수를 한 국민의힘 사무처 당직자가 어제 코로나19 확진 판정을 받았다""며 ""오늘 오전 중으로 코로나19 검사를 받고 자택에서 대기할 예정""이라고 설명했다.     당초 윤 전 총장은 휴가 이틀째인 이날 충남 아산 현충사, 세종 선영, 논산 파평윤씨 고택 등을 개인적으로 방문할 계획이었던 것으로 전해졌다.    hanjh@yna.co.kr"
"‘코로나19 백신 맞은 뒤 이상반응’ 간호조무사, 산재 인정",2021.08.06. 오전 9:43,"코로나19 예방 백신을 접종했다가 뇌척수염을 진단받은 간호조무사에 대해 근로복지공단이 산업재해를 인정했습니다. 근로복지공단은 지난 3월 코로나19 예방 백신 접종 뒤 급성 파종성 뇌척수염을 진단받고 요양급여신청서를 제출한 간호조무사 A 씨에 대해 산업재해로 인정했다고 오늘(6일) 밝혔습니다. 업무상질병판정위원회는 A 씨가 우선접종대상으로서 사업장의 적극적인 안내에 따라 백신을 맞았고, 접종이 업무 시간으로 인정됐으며, 접종을 하지 않으면 업무 수행이 어려운 점을 볼 때, 이번 접종이 업무와 관련된 것이었다는 점이 인정된다고 판단했습니다. 또 A 씨에게 평소에 백신 이상 반응을 유발할만한 기저질환이나 유전질환 등이 없었고, 접종과 이상반응 유발 사이 시간적인 연관성이 인정된다고도 공단은 밝혔습니다. 한편 질병관리청은 코로나19 백신 이상반응에 대한 상병 신청 선례가 없거나, 백신과 이상반응에 대한 자료가 부족하다며 국가 피해보상을 인정하지 않았습니다. 그러나 공단은 이 같은 내용이 산재 인정에 있어서 인과관계를 부정하는 근거가 되기엔 부족하다며, 산업재해로 인정된다고 판단했다고 전했습니다. 근로복지공단은 “코로나19 백신 접종 뒤 발생하는 이상반응뿐 아니라 향후 새롭게 발생할 수 있는 업무상 질병 신청에 대해서도 객관적이고 공정한 조사, 판정을 통해 산재 노동자를 적극적으로 보호하겠다”고 밝혔습니다."
코로나 신규확진 1704명… 사흘째 1700명대,2021.08.06. 오전 9:32,"/연합뉴스        국내 신종 코로나바이러스 감염증(코로나19) 확산세가 사그라지지 않는 가운데 일일 확진자 수가 1704명을 기록하며 사흘째 1700명대를 기록했다.중앙방역대책본부는 6일 0시 기준 신규 확진자가 1704명 늘어 누적 20만 7406명이 됐다고 밝혔다. 5일 1776명보다 72명이 줄었지만 확산세는 여전한 모습이다. 지난달 7일 일일 확진자 1212명이 발생한 이후로 31일 연속 네 자릿수를 기록하고 있다. 감염경로는 지역발생 1640명, 해외유입 64명이다.지난달 31일부터 이날까지 최근 1주간 발생한 신규 확진자는 일별 1539명→1442명→1219→1202→1725→1776→1704명이다.4차 대유행이 시작된 이후로 최근 비수도권에서도 거센 확산세를 보이고 있다. 전국적 유행 양상이다.지역별 확진자 수는 수도권 ▲서울 460명 ▲경기 451명 ▲인천 101명 등 1012명이고, 비수도권은 ▲부산 105명 ▲대구 83명 ▲대전 50명 ▲광주광역시 13명 ▲울산 23명 ▲세종 15명 ▲제주 16명 등 628명이다.한편, 어제 4명이 코로나로 숨져 사망자는 누적 2113명이 됐다.정부는 확산세가 잡히지 않자 수도권 4단계, 비수도권 3단계인 현행 사회적 거리두기를 오는 22일까지 2주 연장키로 했다. 사적모임 인원제한 조치도 유지다.현재 수도권에서는 낮 시간대에는 4명까지만 모일 수 있으며, 오후 6시 이후에는 2인 모임만 가능하다. 유흥시설은 집합금지 조치가 내려졌다."
국내 코로나 백신 1차 접종률 40% 넘겨,2021.08.06. 오전 11:21,"예방접종 추진단, 1차 접종자 누적 2052만여명1차 접종 AZ 백신 가장 많아2차 접종 완료자는 화이자가 429만여명으로 최다‘고3 학생 및 고교 교직원 백신 접종‘이 시작된 19일 서울 양천구 해누리 타운에서 한 고3 학생이 백신을 접종하고 있다. 2021. 7. 19. 사진공동취재단코로나19 백신 1차 접종률이 6일 0시 기준으로 국내 인구 대비 40%를 처음 넘겼다.6일 코로나19 예방접종 대응 추진단에 따르면 국내 1차 접종자는 누적 2052만 9566명으로 전체 인구의 40.0%를 차지했다. 1차 접종률이 40%선에 이른 것은 지난 2월 26일 국내 접종이 시작된 이후 161일 만이다. 5일 하루에만 19만 1478명이 접종했다. 백신별 신규 1차 접종자는 화이자가 17만 3276명, 모더나 5203명, 아스트라제네카 1만2999명이다.누적 1차 접종자를 백신별로 보면 아스트라제네카가 1042만 9759명으로 가장 많고, 이어 화이자가 807만8121명, 모더나 89만 1919명 이다. 2차 접종까지 마친 사람은 12만 6304명 추가돼 모두 752만6904명으로 늘었다. 국내 인구 대비 14.7%에 해당한다.백신별 2차 접종 완료자는 화이자 429만 7182명, 아스트라제네카 204만 6228명, 모더나 5만 3727명이다. 2차까지 접종률은 화이자가 43.4%, 아스트라제네카 16.7%, 모더나 2.7% 등이다. 1회 접종만으로 끝나는 얀센 백신의 누적 접종자는 112만 9767명에 이른다. 얀센의 경우 접종 대상자(112만9803명) 가운데 36명을 빼고 모두 접종했다.국내 예방접종은 아스트라제네카와 화이자, 얀센, 모더나 4가지로 진행되고 있으며, 접종 간격은 아스트라제네카가 11~12주, 화이자 3주, 모더나 4주 등이다."
[속보]코로나19 신규확진자 1704명…3일 연속 1700명대,2021.08.06. 오전 9:37,"5일 오전 서울 중구 서울역광장에 마련된 신종 코로나바이러스 감염증(코로나19) 임시선별진료소에서 시민들이 검사를 기다리고 있다. /사진=뉴스1중앙방역대책본부(방대본)는 6일 0시 기준 신규 확진자가 1704명 늘었고, 누적 확진자 수가 20만7406명이라고 밝혔다. 이로써 3일 연속 신규확진자 수가 1700명대를 기록하게 됐다.이날 신규 확진자의 감염경로는 지역발생이 1640명, 해외유입이 64명이다. 지역별로는 △서울 460명 △경기 451명 △인천 101명 등 수도권이 총 1012명(61.7%)이다.비수도권은 △부산 105명 △경남 98명 △대구 83명 △충남·경북 각 52명 △대전 50명 △충북 38명 △전북 33명 △강원 26명 △전남 24명 △울산 23명 △제주 16명 △세종 15명 △광주 13명 등 총 628명(38.3%)이다.코로나 19 확산세가 좀처럼 잡히지 않는 가운데, 정부는 수도권 4단계, 비수도권 3단계의 사회적 거리두기 조치를 22일까지 2주간 더 연장하기로 했다.거리두기 연장으로 수도권에서는 오후 6시 이후로는 2명까지(3인 이상 사적모임 금지)만 모일 수 있다. 또 유흥시설의 집합금지 조치도 이어진다.비수도권의 5인이상 모임금지 및 다중이용시설 영업시간 제한(오후 10시까지) 조치도 유지된다."
[속보] 코로나 신규확진 1704명…전방위 확산세 지속,2021.08.06. 오전 9:36,"사진=연합뉴스코로나19 ‘4차 대유행’의 확산세가 좀처럼 꺾이지 않는 가운데 6일 신규 확진자 수는 1700명대를 기록했다.중앙방역대책본부(방대본)는 이날 0시 기준으로 신규 확진자가 1704명 늘어 누적 20만7406명이라고 밝혔다.전날(1776명)보다 72명이 줄었으나 사흘 연속 1700명대로 나타났다.지난달 31일부터 지난 6일까지 최근 1주간 발생한 신규 확진자는 일별로 1539명→1442명→1218명→1200명→1725명→1776명→1704명이다. 하루 평균 1515명꼴이며 일평균 지역발생은 1453명에 달했다.이날 신규 확진자의 감염경로는 지역발생이 1640명, 해외유입이 64명이다.지역별로는 서울 460명, 경기 451명, 인천 101명 등 수도권이 총 1012명(61.7%)이다.비수도권은 부산 105명, 경남 98명, 대구 83명, 충남·경북 각 52명, 대전 50명, 충북 38명, 전북 33명, 강원 26명, 전남 24명, 울산 23명, 제주 16명, 세종 15명, 광주 13명 등 총 628명(38.3%)이다.해외유입 확진자는 64명으로, 전날(59명)보다 5명 많다.이 가운데 28명은 공항이나 항만 검역 과정에서 확인됐다. 나머지 36명은 경기(11명), 세종(5명), 서울·경북(각 4명), 충북(3명), 부산·인천(각 2명), 대구·광주·울산·충남·전북(각 1명) 지역 거주지나 임시생활시설에서 자가격리하던 중 양성 판정을 받았다.사망자는 전날보다 4명 늘어 누적 2113명이 됐다. 국내 평균 치명률은 1.02%다.위중증 환자는 총 376명으로, 전날(369명)보다 7명 늘었다."
"모더나 ""코로나19 백신 효과 6개월 후에도 93%""",2021.08.06. 오전 6:10,"동영상 뉴스




모더나 ""백신 2회차 접종 6개월 후 93% 예방 효과 유지""화이자 백신은 6개월 후 예방 효과가 84%로 떨어져""추가 접종용 백신 3종, 델타 변이 등에 왕성한 항체 반응""[앵커]미국 제약사 모더나는 자사의 코로나19 백신이 2회차 접종 6개월 후에도 93%의 예방 효과를 유지한 것으로 나타났다고 밝혔습니다.또 겨울이 오기 전에 부스터 샷, 즉 추가 접종이 필요할 수 있다고 말했습니다.김원배 기자가 보도합니다.[기자]모더나는 자사의 코로나19 백신 3상 임상시험 최종 분석 결과 2회차 접종 6개월 후에도 93%의 예방 효과를 유지한 것으로 나타났다고 밝혔습니다.이는 모더나 백신의 초기 예방 효과인 94%와 거의 차이가 없는 수준입니다.모더나와 비슷한 mRNA 기반의 화이자 백신은 예방 효과가 초기 95%에서 6개월 후 84%로 떨어지는 것으로 나타났습니다.모더나의 최신 분석 결과는 아직 의학전문 학술지를 통해 정식 출판된 것은 아니라고 미국 언론들이 지적했습니다.모더나는 또 변이 바이러스를 막기 위한 부스터 샷, 즉 추가 접종용 백신 3종의 2상 임상시험 결과 이들 백신이 델타를 비롯한 3가지 변이 바이러스에 대해 ""왕성한 항체반응을 생성했다""고 밝혔습니다.모더나는 겨울철이 오기 전에 부스터 샷이 필요할 가능성이 있다고 말했습니다.코로나19 백신으로 모더나는 돈방석에 앉은 것으로 나타났습니다.모더나는 올 2분기 순이익이 280억 달러, 우리 돈으로 32조 원, 매출은 435억 달러, 우리 돈으로 약 50조 원을 기록했다고 밝혔습니다.주당 순이익은 6달러 46센트로 전문가 전망치 5달러 96센트를 웃돌았습니다.모더나는 올해 200억 달러, 내년 120억 달러 규모의 코로나19 백신 구매 계약을 각각 체결한 상태라고 덧붙였습니다.올해 백신 생산량 전망치는 8억 회분에서 10억 회분 사이로 기존 전망과 일치했습니다.YTN 김원배입니다."
내년 상반기 국산 1호 코로나19 백신 개발…5년간 2조2천억 투입,2021.08.05. 오후 5:43,"올해 1천667억원 투입…백신 개발 제약사 임상 3상비용 지원3상 시험계획 승인제품 선구매…K-글로벌 백신허브화 전략 추진글로벌 백신 허브화 비전 및 전략 브리핑하는 권덕철 장관(서울=연합뉴스) 김승두 기자 = 권덕철 보건복지부 장관이 5일 정부서울청사 브리핑실에서 K-글로벌 백신 허브화 비전 및 전략 등을 브리핑하고 있다. 이날 브리핑에는 안도걸 기획재정부 2차관, 박진규 산업통상자원부 차관, 용홍택 과학기술정보통신부 1차관, 권순만 한국보건산업진흥원장, 묵현상 국가신약개발사업단장이 함께 참석했다. 2021.8.5 kimsdoo@yna.co.kr(서울=연합뉴스) 김서영 기자 = 이르면 내년 상반기에 국산 1호 신종 코로나바이러스 감염증(코로나19) 백신이 개발될 전망이다.    정부는 5일 문재인 대통령 주재로 청와대와 서울·세종 정부청사에서 열린 영상 보고대회에서 이 같은 내용이 담긴 'K-글로벌 백신허브화 비전 및 전략'을 확정했다.    정부는 K-글로벌 백신허브화 목표 달성을 위해 ▲ 국산 코로나19 백신 신속개발 ▲ 글로벌 생산협력 확대 ▲ 글로벌 백신 허브 기반 신속 구축 등 3대 전략을 집중적으로 추진키로 했다.    우리나라의 우수한 바이오의약품 생산역량과 숙련된 인적자원을 바탕으로 글로벌 백신 허브로 도약하기 위해 올해 하반기부터 오는 2026년까지 5년간 총 2조2천억원을 투자한다.[그래픽] K-글로벌 백신허브화 비전 및 전략 주요 내용(서울=연합뉴스) 이재윤 기자 = 정부는 5일 문재인 대통령 주재로 청와대와 서울·세종 정부청사에서 열린 영상 보고대회에서 'K-글로벌 백신허브화 비전 및 전략'을 확정했다.    yoon2@yna.co.kr    트위터 @yonhap_graphics  페이스북 tuney.kr/LeYN1  내년 상반기까지 국산 1호 코로나19 백신 개발    이를 바탕으로 내년 상반기까지 국산 1호 코로나19 백신 개발을 마치고, 2025년까지는 세계 5위의 글로벌 백신 시장을 달성한다는 구상이다.    이와 관련해 정부는 올해 2차 추경을 통해 관련 예산 2천억원을 확보했으며, 내년부터 2026년까지 2조원의 재원을 추가로 마련할 예정이다.    국산 1호 백신 개발 속도를 높이기 위해 국내 백신 개발사에 대해서는 전폭적인 지원을 제공한다.    현재 SK바이오사이언스 등 일부 제약사가 하반기 3상에 진입할 것으로 전망됨에 따라 올해 1천667억원을 투입해 임상 3상 비용을 집중적으로 지원할 방침이다.    또 임상 2상의 중간결과가 나오거나 임상 3상 시험계획이 승인된 코로나19 백신 제품의 경우 면역원성·안전성, 성공 가능성을 고려해 선구매하는 방안도 추진한다.    아울러 더 많은 기업이 신속하게 3상에 진입할 수 있도록 임상 승인 기간을 절반으로 줄이고, 국가에서 지정한 중앙임상시험심사위원회를 통해 다기관 통합심사도 추진한다.    이와 함께 임상에 참여할 대상자를 모집하기 위한 온·오프라인 홍보도 강화하고 참여자에 대한 지원정책도 함께 마련한다.    정부는 특히 바이러스 벡터(전달체)·재조합 백신 플랫폼보다 개발 속도전에서 유리하고 생산설비 구축에 드는 비용도 상대적으로 저렴한 mRNA(메신저 리보핵산) 백신 플랫폼을 개발하기 위한 핵심기술 연구를 범정부적 차원에서 지원할 예정이다.    이를 위해 전임상·임상, 원부자재 등을 지원하고 mRNA 백신 개발사 간 컨소시엄을 운영해 생산 역량을 극대화한다는 방침이다.국산 백신 개발 (CG)[연합뉴스TV 제공] 주요 선도국 중심 글로벌 생산협력 강화    정부는 주요 선도국을 중심으로 글로벌 생산 협력을 강화하기로 했다.     미국 이외에도 영국, 독일, 캐나다, 호주 등과 협력을 강화해 국가 간 협력 파트너십을 다변화할 계획이다.    또 백신 원부자재의 원활한 수급을 위해서는 한미 간 수요·공급 기업 연계 등 협력을 추진하는 동시에 글로벌 백신 비즈니스 포럼을 통해 기업 간 접촉·협력을 지원할 방침이다.    현재 지질나노입자(LNP), 뉴클레오시드삼인산(NTP), 일회용백 등의 원부자재는 수급이 어려운 상황인 것으로 알려졌다.    정부는 이와 함께 세계보건기구(WHO)를 중심으로 추진되는 글로벌 백신 기술이전 허브 및 인력양성 허브 논의에 참여하고, 아시아개발은행(ADB) 등과도 협력해 개도국 생산거점 진출, 인력양성 등도 추진키로 했다.    이 밖에 전염병대비혁신연합(CEPI)·국제백신연구소(IVI)·라이트 펀드(글로벌헬스기술연구기금)와의 연구 협력 네트워크도 구축할 예정이다.mRNA 백신 국내 첫 위탁생산…개발 협력도 확대 (CG)[연합뉴스TV 제공]  글로벌 백신 허브 기반 신속 구축…기업당 최대 30억원 지원    정부는 글로벌 백신 허브 기반을 신속히 구축하기 위해서는 ▲ 생산역량 확충 ▲ 차세대 백신 신속 개발 ▲ 국산 백신 글로벌 진출 ▲ 백신산업 생태계 조성 등 4가지 중점과제에 범정부적 역량을 집중하기로 했다.    첫 번째 과제인 생산기반 확충을 위해서는 백신 및 원부자재 생산시설·설비 구축을 위해 기업당 최대 30억원(올해 총 180억원)을 지원하고, 글로벌 수준의 백신 GMP(제조 및 품질관리 기준)급 공공 제조시설을 활용해 자체 설비가 없는 기업의 백신 상용화를 지원한다.    또 백신 개발 및 생산을 위한 핵심기술을 국가전략기술로 선정해 세제 혜택을 강화하고 mRNA 등 차세대 백신 플랫폼 생산기반 구축 및 양산·품질관리 지원을 확대한다.    아울러 원부자재 기술 자급화도 지원한다. 국산 백신원료·생산부품·장비 경쟁력 강화를 위한 비교 시험, 성능평가, 창업성장기술개발 등 상용화를 지원하고 연구개발(R&D)·소부장·스마트공장 등을 통해 패키지형 지원체계를 구축한다.     백신 원부자재의 경우 입항 전 수입신고 허용, 수입 검사 최소화 등 신속한 통관·물류 절차를 제공하고, 원부자재 등의 국내 보세공장 반입을 허용해 관련 기업의 물류비용 절감도 지원한다.연구개발(R&D) 및 시설투자 세액공제율 세제 혜택[글로벌백신허브화추진단 제공. 재판매 및 DB 금지]    두 번째 과제인 차세대 백신 신속개발 지원과 관련해선 다양한 변이 바이러스에 사용 가능한 다가·범용 백신, 신속제작 가능한 백신 플랫폼 확보와 더불어 고부가가치 백신, 민간기피백신(탄저백신 등)을 개발하고 이를 뒷받침하기 위한 면역 증강제 등 백신 기반기술과 기초·원천연구 강화를 추진한다.    정부는 특히 전임상, 임상, 심사·허가, 제품화 등 차세대 백신의 개발부터 상용화까지 빈틈없는 지원을 추진키로 했다.     일례로 코로나19 백신 신기술 특허출원의 경우 우선심사 대상으로 지정해 심사 기간을 13.7개월에서 2.4개월로 대폭 단축함으로써 백신 개발기업의 빠른 권리 획득을 지원할 방침이다.    세 번째 과제인 국산 백신 글로벌 진출을 위해서는 백신수출 확대를 위한 무역보험 한도를 최대 2배까지 확대하고, 백신 수출 목적의 국내 생산설비투자에 대한 금융지원도 추진한다.     또 최적 기술보호 가이드라인을 제공해 분쟁 위험 사전 진단 및 무효·회피 등 기업의 분쟁 대응 전략도 지원한다.    국가 차원의 국제공조 및 신변종 감염병 대응 협력 강화를 위해 병원체 자원정보·검체를 확보하고 해외연구거점 구축도 추진한다.     아울러 해외 연구자 유치 및 국내외 공동 연구 활성화를 위한 '글로벌 백신 연구 단지' 조성을 추진하고 백신 개발 핵심기술 확보를 위한 감염병 기반 공동연구·교류도 추진한다.    마지막 과제인 백신 산업 생태계 조성을 위해서는 한국형 NIBRT(국립바이오전문인력양성센터), 백신실증지원센터(화순·안동) 등을 활용해 백신 특화 공정개발 인력을 양성하는 동시에 바이오산업 경쟁력 강화, 고령사회·감염병 위기 근본적 대응을 위한 기초연구 인력 및 의과학 인력, 규제과학 전문가 양성 지원체계를 마련한다.    한편 정부는 이날 국무총리가 위원장인 '글로벌 백신허브화 추진위원회'를 발족시켰다.     sykim@yna.co.kr"
6월 경상수지 14개월 연속 흑자..하반기엔 코로나 델타변이 변수,2021.08.06. 오전 9:17,"[파이낸셜뉴스]   [부산=뉴시스] 하경민 기자 = 산업통상자원부는 지난 7월 수출이 전년 동월 대비 29.6% 증가한 554억4000만 달러를 기록, 무역통계가 집계되기 시작한 1956년 이후 65년 만에 역대 월 수출액 1위를 기록했다고 1일 밝혔다. 사진은 이날 오전 부산 남구 신선대부두의 모습. 2021.08.01. yulnetphoto@newsis.com /사진=뉴시스6월 우리나라 경상수지가 88억5000만달러 흑자를 기록해 14개월 연속 흑자행진을 이어갔다.   수출 호조와 소비 심리 개선 등에 따른 것이라고 한은측은 설명했다.   한국은행이 6일 발표한 6월 국제수지(잠정) 통계에 따르면 올해 6월 경상수지는 88억5000만달러 흑자를 기록했다.   상반기 누적으로 살펴보면 443억4000만달러를 나타냈다. 작년 상반기보다 132.9%나 증가한 수준이다.   6월 상품수지는 전년 동기(61억8000만달러)보다 급증한 76억2000만달러를 기록했다.   6월 수출은 전년 동월대비 141억6000만 달러(35.9%) 증가한 536억3000만 달러를 나타냈다. 자동차와 반도체 수출 호조가 지속된 데 따른 것이다.   같은 기간 수입은 127억3000만 달러(38.2%) 늘어난 460억2000만 달러로 나타났다.   6월 서비스수지는 운송수지 개선 등으로 작년 6월 13억5000만 달러에서 9억5000만 달러 적자를 기록했다.   특히 운송수지 흑자는 역대 최대 규모인 12억9000만달러를 나타냈다.   금융계정 순자산은 6월 42억9000만 달러 증가했다.   직접투자의 경우 내국인의 해외투자와 외국인의 국내투자가 모두 증가했다.   내국인의 투자는 40억7000만달러, 외국인의 국내투자는 28억6000만달러 늘었다.   파생금융상품은 4억5000만달러 감소했다.   황상필 한은 경제통계국장은 하반기 경상수지 흑자폭이 제약될 가능성을 묻는 질문에 ""하반기에도 경상수지 흑자추세를 이어가겠지만, 코로나19 델타변이 확산과 원자재 가격변화, 부품 수급 차질 우려 등이 경상수지 규모를 결정하는데 주요 요인으로 작용할 것으로 보인다""고 했다."
어제 코로나19 신규 확진 1704명…31일 연속 네 자릿수,2021.08.06. 오전 10:15,"정부, 현행 ‘사회적 거리두기’(수도권 4단계·비수도권 3단계) 조치 22일까지 2주 연장    서울 중구 서울역광장에 마련된 신종 코로나바이러스 감염증(코로나19) 임시선별검사소에서 의료진이 검사 준비를 하고 있다. 뉴스1     중앙방역대책본부는 6일 0시 기준으로 국내 신종 코로나바이러스 감염증(코로나19) 신규 확진자는 1704명이며, 누적 확진자는 총 20만7406명이라고 이날 밝혔다.   전날(5일 0시 기준)의 1776명보다 72명이 줄었으나, 사흘 연속 1700명대를 기록하고 있다.   특히 일일 신규 확진자는 지난달 7일(1212명)부터 31일 연속 네 자릿수를 이어가면서 장기화하고 있다.   지난달 31일부터 이날까지 최근 1주간 일일 신규 확진자는 1539명→1442명→1218명→1200명→1725명→1776명→1704명을 기록하며 연일 1200명~1700명대를 오르내리고 있다.   신규 확진자의 감염경로는 지역발생이 1640명이고 해외유입이 64명이다.   지역별로는 서울 460명, 경기 451명, 인천 101명으로 수도권의 확진자(1012명)가 지역발생 확진자의 61.7%를 차지했다.   해외유입 확진자 중 28명은 공항이나 항만 검역 과정에서 확인됐고, 나머지 36명은 지역 거주지나 임시생활시설에서 자가격리 중 양성 판정을 받았다.   사망자는 전날보다 4명 늘어 누적 2113명이 됐다. 국내 평균 치명률은 1.02%다.   현재까지 국내에서 이뤄진 코로나19 진단 검사 건수는 총 1195만1652건으로, 이 중 1131만7196건은 음성 판정이 나왔고 나머지 42만7050건은 결과를 기다리는 중이다.   이날 0시 기준 누적 양성률은 1.74%(1195만1652명 중 20만7406명)다.   정부는 오는 8일 종료될 예정이었던 현행 ‘사회적 거리두기’(수도권 4단계·비수도권 3단계) 조치를 22일까지 2주간 더 연장하기로 했다.   수도권에서는 오후 6시 이후 2명까지(3인 이상 사적모임 금지)만 모일 수 있고, 유흥시설의 집합금지 조치도 계속 이어진다. 비수도권의 5인 이상 모임금지 및 다중이용시설 영업시간 제한(오후 10시까지) 조치도 유지된다."
